Question;Answer
Egypt. Is Egypt the most populated country in Africa?;No
Egypt. Does Egypt have political influence in the Middle East?;yes
Egypt. Does Egypt have political influence in the Middle East?;Yes
Egypt. When was the Six Day War?;1967
Egypt. When was the Six Day War?;1967
Egypt. What religions has Egypt outlawed?;All but Christianity, Islam, and Judaism
Egypt. What religions has Egypt outlawed?;all religions and belief except Islam, Christianity and Judaism
Egypt. What is the poulation of Egypt?;more than 78 million
Egypt. What is the poulation of Egypt?;78 million people
Egypt. Why does most of Egypt's population live near the Nile?;the only arable agricultural land is found there,
Egypt. Why does most of Egypt's population live near the Nile?;The only arable agricultural land is found there
Egypt. Are there a large number of Jews living in Egypt today?;no
Egypt. Are there a large number of Jews living in Egypt today?;No
Egypt. During what period was Akhenaten a Pharaoh?;The New Kingdom (c.1550&#8722
Egypt. During what period was Akhenaten a Pharaoh?;The New Kingdom
Egypt. Is Egypt in Asia?;No.
Egypt. Does Egypt receive the least rainfall in the world?;Yes.
Egypt. Does Egypt receive the least rainfall in the world?;Yes
Egypt. Does Egypt's foreign policy operates along moderate lines?;Yes.
Egypt. Does Egypt's foreign policy operates along moderate lines?;Yes
Egypt. Since when has Egypt been a republic?;June 18 1953.
Egypt. Since when has Egypt been a republic?;June 18 1953
Egypt. When were the Great Sphinx and the Pyramids of Giza built?;During the Old Kingdom.
Egypt. When were the Great Sphinx and the Pyramids of Giza built?;During the Old Kingdom
Egypt. What countries border Egypt?;Libya, Sudan, the Gaza Strip and Israel.
Egypt. What countries border Egypt?;Libya, Sudan, the Gaza Strip and Israel
Egypt. What is the estimated population of Egypt?;More than 78 million.
Egypt. What is the estimated population of Egypt?;78 million
Egypt. Does snow fall in Egypt?;Yes.
Egypt. Does snow fall in Egypt?;Yes
Egypt. When did organized agriculture appear in the Nile Valley?;6000 BC.
Egypt. When did organized agriculture appear in the Nile Valley?;About 6000 BC
elephant. Are elephants the largest land animals alive today?;yes
elephant. Are elephants the largest land animals alive today?;yes
elephant. Can an elephant kill a rhinoceros?;yes
elephant. Can an elephant kill a rhinoceros?;yes
elephant. Are elephants good swimmers?;yes
elephant. Are elephants good swimmers?;yes
elephant. How many living species of African Elephants are there?;2
elephant. How many living species of African Elephants are there?;The African Elephant genus contains two (or, arguably, three) living species.
elephant. How long may elephants live?;70 years
elephant. How long may elephants live?;As long as 70 years, sometimes longer.
elephant. Why does the phrase 'elephants never forget' have no metaphorical meaning?;it refers literally to elephants supposedly having an excellent memory
elephant. Why does the phrase 'elephants never forget' have no metaphorical meaning?;Because it refers literally to elephants supposedly having an excellent memory.
elephant. How many living species of Asian Elephants are there?;1
elephant. How many living species of Asian Elephants are there?;one
elephant. How much do elephants weight at birth?;120 kilograms
elephant. How much do elephants weight at birth?;At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).
elephant. What did Aristotle say about elephants?;the beast which passeth all others in wit and mind
elephant. What did Aristotle say about elephants?;"Aristotle once said the elephant was ""the beast which passeth all others in wit and mind."""
elephant. Are elephant populations in West Africa generally small and fragmented?;yes
elephant. Are elephant populations in West Africa generally small and fragmented?;Yes
elephant. Is the Asian elephant larger than the African?;no
elephant. Is the Asian elephant larger than the African?;Sometimes
elephant. Is an elephant's skin tough?;yes
elephant. Is an elephant's skin tough?;Yes
elephant. How do elephants communicate over long distances?;by producing and receiving low frequency sound
elephant. How do elephants communicate over long distances?;By producing and receiving low-frequency sound (infrasound)
elephant. When do African elephants lie down?;when they are sick or wounded
elephant. How long is the elephant's gestation period?;22 months
elephant. How long is the elephant's gestation period?;22 months
elephant. How many species of African elephants have been proposed?;three
elephant. How many species of African elephants have been proposed?;three
elephant. What are the elephant's ears important for?;temperature regulation
elephant. What are the elephant's ears important for?;temperature regulation
elephant. What land animal has the largest brain?;elephant
elephant. What land animal has the largest brain?;The elephant
elephant. Are elephants mammals?;yes
elephant. Are elephants mammals?;Yes
elephant. Have elephants been used as working animals?;yes
elephant. Have elephants been used as working animals?;Yes
elephant. Do they prefer forested areas?;Yes
elephant. Do they prefer forested areas?;Yes
elephant. What is the world population of Asian elephants?;60000
elephant. What is the world population of Asian elephants?;The world population of Asian elephants – also called Indian Elephants or Elephas maximus – is estimated to be around 60,000
elephant. What part of an elephant is very important for temperature regulation?;Ears
elephant. What part of an elephant is very important for temperature regulation?;The large flapping ears of an elephant are also very important for temperature regulation.
elephant. Where was the largest elephant ever recorded shot?;Angola
elephant. Where was the largest elephant ever recorded shot?;The largest elephant ever recorded was shot in Angola in 1956.
elephant. Is an Asian elephant smaller than an African elephant?;yes
elephant. Is an Asian elephant smaller than an African elephant?;Yes
elephant. What land animal is larger than an elephant?;None
elephant. What land animal is larger than an elephant?;None, the elephant is the largest land animal.
elephant. Has tusklessness become a rare abnormality?;No
elephant. Has tusklessness become a rare abnormality?;No, tusklessness has become a widespread hereditary trait. 
Finland. Were the treaties signed in 1947 and 1948 with the Ukraine?;no
Finland. Were the treaties signed in 1947 and 1948 with the Ukraine?;No
Finland. Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?;yes
Finland. Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?;Yes
Finland. Is the most read newspaper in Finland Taloussanomat?;no
Finland. Is the most read newspaper in Finland Taloussanomat?;No
Finland. Which Russian army general conquered Finland in 1809?;Alexander I
Finland. Which Russian army general conquered Finland in 1809?;Alexander I
Finland. What is the life expectancy for men in Finland?;75 years
Finland. What is the life expectancy for men in Finland?;75 years
"Finland. In what year were the ""Games of the XV Olympiad"" held?";1952
"Finland. In what year were the ""Games of the XV Olympiad"" held?";1952
Finland. What body of water lies to the south of Finland?;the Gulf of Finland
Finland. What body of water lies to the south of Finland?;Archipelago Sea
Finland. Name an animal that is growing in number due to recent conservation efforts;Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)
Finland. Name an animal that is growing in number due to recent conservation efforts;Golden Eagle
Finland. Today, are there more cell phone subscriptions than people in Finland?;yes
Finland. Today, are there more cell phone subscriptions than people in Finland?;Yes
Finland. Is Matti Vanhanen the Prime Minister of Finland?;yes
Finland. Is Matti Vanhanen the Prime Minister of Finland?;Yes
Finland. Is the capital city Oslo?;no
Finland. Is the capital city Oslo?;No
Finland. Does it have a border with Norway?;yes
Finland. Does it have a border with Norway?;Yes
Finland. What is the life expectancy for men?;75 years
Finland. What is the life expectancy for men?;75 years
Finland. What is the biggest city in Finland?;Greater Helsinki
Finland. What is the biggest city in Finland?;the cities of the Greater Helsinki metropolitan area
Finland. Who is the most popular rock group in Finland?;CMX
Finland. Who is the most popular rock group in Finland?;CMX
Finland. What is Finland's economy like?;a highly industrialised, free-market economy
Finland. Where is Finland located?;Northern Europe
Finland. Where is Finland located?;Northern Europe
Finland. What is the weather like in summer?;relatively warm
Finland. What is the weather like in summer?;relatively warm
Finland. Does salmon remain the favorite of fly rod enthusiasts?;Yes
Finland. Does salmon remain the favorite of fly rod enthusiasts?;Yes
Finland. Are there cathedrals scattered all across Finland?;Yes
Finland. Are there cathedrals scattered all across Finland?;Yes
Finland. According to Reader's Digest, is Finland best for living?;Yes
Finland. According to Reader's Digest, is Finland best for living?;Yes
Finland. When did the first verifiable written documents appear?;Twelfth Century
Finland. When did the first verifiable written documents appear?; The first verifiable written documents appeared in the twelfth century. 
Finland. What is the capital city?;Helsinki
Finland. What is the capital city?;The capital city is Helsinki. 
Finland. What is the most extensively celebrated holiday?;Christmas
Finland. What is the most extensively celebrated holiday?;Christmas is the most extensively celebrated holiday.
Finland. Does a large proportion of the population speak Swedish as its mother tongue?;No
Finland. Do women live longer than men?;Yes
Finland. Do women live longer than men?;Yes
Finland. What is a country with which Finland is involved in an international conflict?;None
Finland. What is a country with which Finland is involved in an international conflict?;Finland is not involved in international conflicts or border disputes. 
Finland. What is Helsinki?;NULL
Finland. What is concentrated in the southern part of the country?;NULL
Finland. What is spoken natively by a 5.5 percent minority?;NULL
Finland. What do jari litmanen and sami hyypi? have in common?;NULL
Finland. Is it true that he composed finlandia in 1899?;NULL
Finland. Is it true that it has borders with sweden?;NULL
Finland. What did Finland join in 1995?;NULL
Finland. Is finnish culture indigenous?;NULL
Finland. Is finnish architecture famous?;NULL
Finland. What situated in Northern?;NULL
Finland. What arrived in Finland?;NULL
Finland. What ceded by Finland?;NULL
Finland. Lunch is what?;NULL
Finland. Who is the autonomous ?land Islands , where Finnish is not compulsory due to Swedish being the sole official language of the province . ?;NULL
Finland. The earliest people were what?;NULL
Finland. Are Various sporting events popular in Finland ?;NULL
Finland. Are all official holidays in Finland established by acts of Parliament ?;NULL
Finland. Are the people of Finland accustomed to technology and information services ?;NULL
Finland. Was one of the most productive composers of popular music Toivo K?rki , and the most famous singer Olavi Virta -LRB- 1915 -- 1972 -RRB- ?;NULL
Finland. Do 79 percent of the population not use the Internet ?;NULL
Finland. Did the relationship between the Grand Duchy and the Russian Empire not sour when the Russian government made moves to restrict Finnish autonomy ?;NULL
Finland. Is finland , officially the republic of finland (`` `` republic of finland ('' '' , or (`` `` suomen tasavalta ('' '' in finnish and (`` `` republiken finland ('' '' in swedish , the long protocol name , which is not defined by the law?;NULL
Finland. Is the capital city helsinki?;NULL
Finland. Is finland a democratic , parliamentary republic?;NULL
Gerald_Ford. Was Ford a member of the House of Representatives?;Yes
Gerald_Ford. Was Ford a member of the House of Representatives?;yes
Gerald_Ford. For how long was Ford a member of the House of Representatives?;Over eight years.
Gerald_Ford. For how long was Ford a member of the House of Representatives?;Ford served for over eight years as the Republican Minority Leader of the United States House of Representatives
Gerald_Ford. Was Gerald Ford a member of Delta Kappa Epsilon?;Yes
Gerald_Ford. Was Gerald Ford a member of Delta Kappa Epsilon?;Yes
"Gerald_Ford. Did ford get an award called ""Congressman's congressman""?";Yes
"Gerald_Ford. Did ford get an award called ""Congressman's congressman""?";No
Gerald_Ford. Did ford attend the University of Michigan?;Yes
Gerald_Ford. Did ford attend the University of Michigan?;Yes
Gerald_Ford. What positions Ford played in the school football team?;Center and linebacker
Gerald_Ford. What positions Ford played in the school football team?;Captain
Gerald_Ford. What did Ford say about his biological father?;He was abusive and had a history of hitting his mother.
Gerald_Ford. What did Ford say about his biological father?;his biological father was abusive and had a history of hitting his mother
Gerald_Ford. Who did Ford nominate for Vice President?;Bob Dole
Gerald_Ford. Who did Ford nominate for Vice President?;Nelson Rockefeller
Gerald_Ford. Was Ford active about Vietnamese affairs?;No
\n. hard;hard
Gerald_Ford. Was Ford active about Vietnamese affairs?;Yes
Gerald_Ford. Had Ford's wife married before?;Yes
Gerald_Ford. Had Ford's wife married before?;No
Gerald_Ford. Is Ford related with the assassination of John F. Kennedy?;Yes
Gerald_Ford. Was Gerald Ford the 38th President of the United States?;yes
Gerald_Ford. Was Gerald Ford the 38th President of the United States?;yes
Gerald_Ford. Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?;yes
Gerald_Ford. Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?;yes
Gerald_Ford. Was Ford an Eagle Scout?;yes
Gerald_Ford. Was Ford an Eagle Scout?;yes
Gerald_Ford. What district was Ford elected from?;Michigan's 5th congressional district
Gerald_Ford. What district was Ford elected from?;Michigan's 5th congressional district
Gerald_Ford. How many Eagle Scouts were involved in Ford's funeral procession?;400
Gerald_Ford. How many Eagle Scouts were involved in Ford's funeral procession?;About 400
Gerald_Ford. Which future Heisman Trophy winner did Ford tackle?;Jay Berwanger
Gerald_Ford. Which future Heisman Trophy winner did Ford tackle?;Jay Berwanger
Gerald_Ford. Has another US President been an Eagle Scout?;no
Gerald_Ford. Has another US President been an Eagle Scout?;no
Gerald_Ford. Did Ford need to do extra work to pay for college?;yes
Gerald_Ford. Did Ford need to do extra work to pay for college?;yes
Gerald_Ford. Have more than five Presidents lived past the age of 90?;no
Gerald_Ford. Have more than five Presidents lived past the age of 90?;no
Gerald_Ford. How do kwajalein and eniwetok relate?;The Monterey supported landings at both locations.
Gerald_Ford. What did Ford receive on April 13, 1942?;Ford received a commission as ensign in the US Naval Reserve.
Gerald_Ford. Was Ford released from the hospital?;Yes.
Gerald_Ford. Was Ford interred at his Presidential Museum in Grand Rapids, Michigan?;Yes.
Gerald_Ford. Is Ford one of only four former Presidents to live to 90 or more years of age ?;Yes.
Gerald_Ford. Was Ford the last surviving member of the Warren Commission ?;Yes.
Gerald_Ford. Did Grand Rapids supporters not urge him to take on Bartel J. Jonkman , the incumbent Republican congressman ?;No.
Gerald_Ford. Did they not claim Ford 's pardon was quid pro quo in exchange for Nixon 's resignation ?;They did claim Ford's pardon was quid pro quo.
Ghana. Does Ghana have twice the per capita output of the poorer countries in West Africa?;yes
Ghana. Does Ghana have twice the per capita output of the poorer countries in West Africa?;yes
Ghana. Is English Ghana's official language?;yes
Ghana. Is English Ghana's official language?;yes
Ghana. Did the Dutch build the Elmina Castle?;No
Ghana. Did the Dutch build the Elmina Castle?;no
Ghana. When did Ghana achieve independence from the United Kingdom?;1957
Ghana. When did Ghana achieve independence from the United Kingdom?;1957
Ghana. How many regions is Ghana divided into?;10
Ghana. How many regions is Ghana divided into?;10
Ghana. Who is the head of state of Ghana?;President John Agyekum Kofuor
Ghana. Who is the head of state of Ghana?;John Agyekum Kufuor
Ghana. What is the dominant religion in Ghana?;Christian
Ghana. What is the dominant religion in Ghana?;christian
Ghana. What are the two subfamilies of the Native Ghanaian languages?;Kwa and Gur
Ghana. What are the two subfamilies of the Native Ghanaian languages?;Kwa and Gur
Ghana. What is the weather like at Lake Volta?;Warm and comparatively dry
Ghana. What is the weather like at Lake Volta?;warm and comparatively dry
Ghana. Is Ghana in Asia?;no
Ghana. Is Ghana in Asia?;No
Ghana. Is English the official language?;yes
Ghana. Is English the official language?;Yes
Ghana. Is Ghana's head of state John Agyekum Kufuor?;yes
Ghana. Is Ghana's head of state John Agyekum Kufuor?;Yes
Ghana. What does the word Ghana mean?;warrior king
Ghana. What does the word Ghana mean?;Warrior King
Ghana. Who was Kwame Nkrumah?;founder and first president
Ghana. Who was Kwame Nkrumah?;founder and first president of the modern Ghanaian state
Ghana. Where is old Ghana in relation to present Ghana?;500 miles north
Ghana. Where is old Ghana in relation to present Ghana?;500 miles north of the present Ghana, and occupied the area between Rivers Senegal and Niger
Ghana. Who makes up Ghana's Parliament?;the New Patriotic Party and National Democratic Congress
Ghana. Who makes up Ghana's Parliament?;the New Patriotic Party and National Democratic Congress
Ghana. What European countries established states in Ghana?;The UK
Ghana. What European countries established states in Ghana?;Portugual, France, Britain, Netherlands
Ghana. What was Wagadugu?;NULL
Ghana. What was controlled by Sundiata in 1240 AD, and absorbed into the larger Mali Empire?;NULL
Ghana. What connected the Akans to this Empire?;NULL
Ghana. Is it true that anecdotal evidence connected the akans to this empire?;NULL
Ghana. Is it true that the portuguese came to ghana in the 15th century?;NULL
Ghana. Is it true that agricultural expansion marked the period before 500?;NULL
Ghana. What did Ghana capture in 1642?;NULL
Ghana. Is The Parliament of Ghana unicameral?;NULL
Ghana. Is Medieval Ghana (4th- 13th Century): The Republic of Ghana is named after the medieval Ghana Empire of West Africa. named after the medieval Ghana Empire of West Africa?;NULL
Ghana. What was on March?;NULL
Ghana. ;NULL
Ghana. ;NULL
Ghana. The coastline is what?;NULL
Ghana. Ghana 's spending on education has what?;NULL
Ghana. Who sits at Osu Castle ?;NULL
Ghana. Is all teaching done in English , Ghana 's official language ?;NULL
Ghana. Are Native Ghanaian languages divided into two linguistic subfamilies of the Niger-Congo language family ?;NULL
Ghana. Are more than 100 languages and dialects spoken in Ghana ?;NULL
Ghana. Had the tax regime which started in 1998 a single rate but since September 2007 entered into a multiple rate regime ?;NULL
Ghana. Did European and other : 0.2 % Religions : Christian 63 % , African beliefs 21 % , Muslim 16 % , Facts on People of Ghana , not access July 13 , 2006 More than 100 languages and dialects are spoken in Ghana ?;NULL
Ghana. Does this not allow retailers of taxable goods under Act 546 to charge a marginal 3 % on their sales and account on same to the VAT Service ?;NULL
Ghana. Is the republic of ghana a country in west africa?;NULL
Ghana. What happened with the portuguese in the 15th century?;NULL
Ghana. Is the old ghana 500 miles?;NULL
Gray_Wolf. Does the Gray Wolf share an ancestry with the domestic dog?;Yes
Gray_Wolf. Does the Gray Wolf share an ancestry with the domestic dog?;Yes.
Gray_Wolf. Do wolf pups tend to have darker fur than adults?;Yes
Gray_Wolf. Do wolf pups tend to have darker fur than adults?;Yes, They do tend to have darker furs
Gray_Wolf. Do wolves leave their pack?;Yes
Gray_Wolf. Do wolves leave their pack?;They leave their birth pack when they reach sexual maturity
Gray_Wolf. What kinds of coats do wolves have?;bulky coats with two layers
Gray_Wolf. What kinds of coats do wolves have?;Tough guard hairs that repel water and dirt, and a dense, water-resistant layer
Gray_Wolf. Where do wolves have scent glands?;Helping the woldf to effectively navigate over large expanses while concurrently keeping others informed of its whereabouts.
Gray_Wolf. Where do wolves have scent glands?;between a wolf's toes
Gray_Wolf. How much do wolves weigh?;typically varies between 32 and 62 kilograms
Gray_Wolf. How much do wolves weigh?;between 32 and 68 kilograms 
Gray_Wolf. Why do wolves howl?;Howling helps pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances. Howling also helps to call pack members to a specific location. Howling can also serve as a declaration of territory, as shown in a dominant wolf&apos
Gray_Wolf. Why do wolves howl?;To pack members keep in touch, allowing them to communicate effectively in thickly forested areas or over great distances
Gray_Wolf. What is surplus killing?;Surplus killing is defined as the killing of several prey animals too numerous to eat at one sitting.
Gray_Wolf. What is surplus killing?;the killing of several prey animals too numerous to eat at one sitting
Gray_Wolf. Are Gray Wolves native to North America?;Yes
Gray_Wolf. Are Gray Wolves native to North America?;No. Current theory suggests that it's from Eurasia
Gray_Wolf. Is the Gray Wolf a mammal?;Yes
Gray_Wolf. Is the Gray Wolf a mammal?;Yes
Gray_Wolf. Are a wolf's teeth its main weapons?;Yes
Gray_Wolf. Are a wolf's teeth its main weapons?;Yes
Gray_Wolf. Are wolves built for stamina?;Yes
Gray_Wolf. Are wolves built for stamina?;Yes
Gray_Wolf. Where is the largest gray wolf population thought to be found?;Kazakhstan
Gray_Wolf. Where is the largest gray wolf population thought to be found?;Kazakhstan
Gray_Wolf. To what genus does the gray wolf belong?;Canis
Gray_Wolf. To what genus does the gray wolf belong?;Canis
Gray_Wolf. When do wolves molt?;Late Spring or Early Summer
Gray_Wolf. When do wolves molt?;late spring or early summer
Gray_Wolf. Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?;A pack can only suppport one littler per year
Gray_Wolf. Why is it beneficial for alpha males and females to forcefully prevent other wolves from mating?;The pack tension rises as each mature wolf feels urged to mate
Gray_Wolf. What type of tools do biologists use to capture wolves for tagging?;Darting and Foot hold traps.
Gray_Wolf. What type of tools do biologists use to capture wolves for tagging?;Darting and foot hold traps
Gray_Wolf. Forward, erect ears and slightly bristle hackles are a sign of what in wolves?;Dominance
Gray_Wolf. Forward, erect ears and slightly bristle hackles are a sign of what in wolves?;Dominance
Grover_Cleveland. Was Grover Cleveland born in New York?;no
Grover_Cleveland. Was Grover Cleveland born in New York?;no
Grover_Cleveland. Did Grover Cleveland win the 1884 election?;yes
Grover_Cleveland. Did Grover Cleveland win the 1884 election?;yes
Grover_Cleveland. Did Grover Cleveland support women's suffrage?;No
Grover_Cleveland. Did Grover Cleveland support women's suffrage?;no
Grover_Cleveland. Where was Grover Cleveland married?;In the White House
Grover_Cleveland. Where was Grover Cleveland married?;in the Blue Room in the White House
Grover_Cleveland. What did Cleveland die from?;A heart attack
Grover_Cleveland. What did Cleveland die from?;a heart attack
Grover_Cleveland. How many years after Cleveland left office did the U.S. win the Spanish-American War?;One Year
Grover_Cleveland. How many years after Cleveland left office did the U.S. win the Spanish-American War?;one
Grover_Cleveland. What did Cleveland's opponents say in 1884 to counter his innocent image?;That he had fathered an illegitimate child
Grover_Cleveland. What did Cleveland's opponents say in 1884 to counter his innocent image?;that he had fathered an illegitimate child while he was a lawyer in Buffalo
Grover_Cleveland. Who did Cleveland run against in 1884?;former Senator James G. Blaine of Maine
Grover_Cleveland. Who did Cleveland run against in 1884?;James G. Blaine
Grover_Cleveland. Why did Cleveland want to hide his cancer surgery from the public?;To avoid further market panic
Grover_Cleveland. Why did Cleveland want to hide his cancer surgery from the public?;because of the financial depression of the country
Grover_Cleveland. Was Grover Cleveland the twenty-seventh president of the United States?;No.
Grover_Cleveland. Was Grover Cleveland the twenty-seventh president of the United States?;No.
Grover_Cleveland. Is Grover Cleveland honest?;Yes.
Grover_Cleveland. Is Grover Cleveland honest?;Yes.
Grover_Cleveland. Was Grover Cleveland married in the whitehouse?;Yes.
Grover_Cleveland. Was Grover Cleveland married in the whitehouse?;Yes.
Grover_Cleveland. When was he elected sheriff of Erire County, New York?;Yes.
Grover_Cleveland. When was he elected sheriff of Erire County, New York?;1870
Grover_Cleveland. When did he die?;June 24 1908
Grover_Cleveland. When did he die?;1908
Grover_Cleveland. Which election did Grover Cleveland win?;1884 and 1892 presidential elections
Grover_Cleveland. Who were Grover Cleveland's parents?;Cleveland was born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal.
Grover_Cleveland. Who were Grover Cleveland's parents?;Reverend Richard Cleveland and Anne Neal.
Grover_Cleveland. How many children did Grover Cleveland have?;5
Grover_Cleveland. How many children did Grover Cleveland have?;Six.
Grover_Cleveland. Who lost control of his party to the agrarians and silverites in 1896?;Grover Cleveland
Grover_Cleveland. Is it true that he sent in federal troops to chicago?;yes
Grover_Cleveland. Was Cleveland born in Caldwell, New Jersey to the Reverend Richard Cleveland and Anne Neal?;yes
Grover_Cleveland. Was Grover Cleveland elected Sheriff of Erie County, New York?;yes
Grover_Cleveland. Was Cleveland 's portrait on the U.S. $ 1000 bill from 1928 to 1946 ?;yes
Grover_Cleveland. Is he buried in the Princeton Cemetery of the Nassau Presbyterian Church ?;yes
Grover_Cleveland. Did the Department of the Interior not charge that the rights of way for this land must be returned to the public because the railroads failed to extend their lines according to agreements ?;yes
Grover_Cleveland. Did the team , sedating Cleveland with nitrous oxide -LRB- laughing gas -RRB- , not remove his upper left jaw and portions of his hard palate ?;yes
Henri_Becquerel. He became chief engineer in the Department of Bridges and Highways in what year?;in 1894
Henri_Becquerel. What led Becquerel to investigate the spontaneous emission of nuclear radiation?;phographic plates being fully exposed
Henri_Becquerel. Is it true that he married louise d?sir?e lorieux in 1890?;yes
Henri_Becquerel. Is it true that he shared the nobel prize in physics?;yes
Henri_Becquerel. When did he marry louise d?sir?e lorieux?;1890
Henri_Becquerel. Was Becquerel elected Permanent Secretary of the Acad?mie des Sciences?;yes
Henri_Becquerel. Was Becquerel born in Paris into a family which, including he and his son Jean, produced four generations of scientists?;yes
Henri_Becquerel. Who won the 1903 Nobel Prize in Physics for discovering radioactivity ?;Henri Becquerel
Henri_Becquerel. Did he not die at the age of 55 in Le Croisic ?;Yes he died at the age of 55
Henri_Becquerel. Did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design ?;yes
Henri_Becquerel. What happened in 1896?; Becquerel accidentally discovered radioactivity.
Henri_Becquerel. What happened with a bromide emulsion in two sheets of very thick black paper?;the plate does not become clouded upon being exposed to the sun for a day
Henri_Becquerel. Is there a becquerel crater on the moon and a becquerel crater on mars?;yes
Indonesia. Are the Javanese the largest and politically dominant ethnic group in Indonesia?;yes
Indonesia. Are the Javanese the largest and politically dominant ethnic group in Indonesia?;Yes
Indonesia. Is Indonesia a monarchy with a presidential system?;no
Indonesia. Is Indonesia a monarchy with a presidential system?;No
Indonesia. Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?;yes
Indonesia. Did the Japanese invasion and subsequent occupation during WWII end Dutch rule?;Yes
Indonesia. In what year did East Timor secede from Indonesia?;1999
Indonesia. In what year did East Timor secede from Indonesia?;1999
Indonesia. When did Islam become the dominant religion in Java and Sumatra?;the end of the 16th century
Indonesia. When did Islam become the dominant religion in Java and Sumatra?;by the end of the 16th century
Indonesia. Does Indonesia have the world's hightest level of biodiversity?;no
Indonesia. Does Indonesia have the world's hightest level of biodiversity?;No
Indonesia. Was Indonesia named after it became an independent country?;no
Indonesia. Was Indonesia named after it became an independent country?;No
Indonesia. Why did Indonesia break off relations with the People's Republic of China?;because of anti-communist purges early in the Suharto era
Indonesia. Why did Indonesia break off relations with the People's Republic of China?;anti-communist purges early in the Suharto era
Indonesia. Which spice originally attracted Europeans to Indonesia?;nutmeg, cloves, or cubeb pepper
Indonesia. Which spice originally attracted Europeans to Indonesia?;nutmeg, cloves, and cubeb pepper
Indonesia. What is Jakarta?;Indonesia's special capital region
Indonesia. What shares land borders with Papua New Guinea, East Timor and Malaysia?;Indonesia
Indonesia. What are the largest and politically dominant ethnic group?;the Javanese
Indonesia. What happens when the srivijaya kingdom formed trade links?;The indonesian archipelago became an important trade region
Indonesia. Is it true that indonesia has vast areas of wilderness?;yes
Indonesia. Is Indonesia a republic?;yes
Indonesia. Are Sports in Indonesia generally male-orientated?;yes
Indonesia. Is Indonesia the world's largest archipelagic state?;yes
Indonesia. Are sports in Indonesia generally male-orientated and spectator sports are often associated with illegal gambling ?;yes
Indonesia. Is Pencak Silat an Indonesian martial art ?;yes
Indonesia. Has Indonesia the world 's largest Muslim population ?;yes
Indonesia. Who has its own political legislature and governor ?;each province
Indonesia. Is it the world 's largest archipelagic state?;yes
Indonesia. Is it the world 's fourth most populous country and the most populous muslim-majority nation?;yes
Indonesia. Is indonesia a republic?;yes
Isaac_Newton. What Eves?;NULL
Isaac_Newton. What are a rumors that he remained a virgin?;NULL
Isaac_Newton. Who was, by later reports of his contemporaries, thoroughly unhappy with the work?;NULL
Isaac_Newton. Is it true that newton saw god as the master creator?;NULL
Isaac_Newton. Is it true that he acquired a circle of admirers?;NULL
Isaac_Newton. Is it true that this contained the beginnings of the laws of motion?;NULL
Isaac_Newton. What did Isaac Newton place at 3 April, AD 33, which agrees with one traditionally accepted date?;NULL
Isaac_Newton. Was Newton outraged?;NULL
Isaac_Newton. Was Newton born three months after the death of his father?;NULL
Isaac_Newton. What died in London?;NULL
Isaac_Newton. What was against William?;NULL
Isaac_Newton. What quartered on March?;NULL
Isaac_Newton. NOTTTT  FOUND;NULL
Isaac_Newton. ;NULL
Isaac_Newton. ;NULL
Isaac_Newton. Were the two in a dispute over optical discoveries at the time ?;NULL
"Isaac_Newton. Are Various trees claimed to be "" the "" apple tree which Newton describes ?";NULL
Isaac_Newton. Was Newton outraged , and went about the work to uncover anything about Chaloner ?;NULL
Isaac_Newton. Was this study cast into doubt when it was later found that Newton himself wrote the study 's concluding remarks on Leibniz ?;NULL
Isaac_Newton. Did Newton not entertain `` a passion '' for Storer while he lodged at the Clarke house ?;NULL
Isaac_Newton. Does # Newton not  Third Law states that for every action there is an equal and opposite reaction ?;NULL
Isaac_Newton. What happened at the time of newton 's birth?;NULL
Isaac_Newton. What happened from school?;NULL
Isaac_Newton. What happened on those of aristotle?;NULL
James_Monroe. Is James Monrow the fifth president of US?;Yes
James_Monroe. Is James Monrow the fifth president of US?;Yes.
James_Monroe. What is the first word on the page?;James
James_Monroe. What is the first word on the page?;James_Monroe
James_Monroe. What is the first number on the page?;28
James_Monroe. What is the first number on the page?;28
James_Monroe. When did Monroe's presidency expired?;March 4, 1825
James_Monroe. When did Monroe's presidency expired?;March 4, 1825.
James_Monroe. What is Monroe's father's name?;Spence
James_Monroe. What is Monroe's father's name?;Spence Monroe.
James_Monroe. What is Monroe's daughter's name?;Maria Hester Monroe Gouverneur
James_Monroe. What is Monroe's daughter's name?;Maria Hester Monroe Gouverneur
"James_Monroe. What does ""Era of Good Feelings"" refers to?";Reduced tension
"James_Monroe. What does ""Era of Good Feelings"" refers to?";"Monroe allowed his political base to decay, which reduced tensions and led to the naming of his era as the ""Era of Good Feelings""."
